Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
PADOVA;PADOVA;Veneto;Facoltà teologica del Triveneto;2015;2015-02-23T22:29:42Z;3369211190;11.8732276;45.4014718
PADOVA;PADOVA;Veneto;Psicologia;2015;2015-12-03T16:26:23Z;3874791858;11.893893;45.4123341
PADOVA;PADOVA;Veneto;Scuola Galileiana - Segreteria e Direzione;2014;2014-03-03T18:32:13Z;2661911172;11.8747960999999;45.4053912999999
UDINE;UDINE;Friuli-Venezia Giulia;Dipartimento di Scienze giuridiche;2014;2014-03-21T10:38:43Z;2730832382;13.2421743;46.0651376
UDINE;UDINE;Friuli-Venezia Giulia;Università di Udine - sede Rettorato;2014;2014-11-27T20:11:05Z;3208150088;13.2324874;46.0661209
GORIZIA;GORIZIA;Friuli-Venezia Giulia;Università degli studi di Trieste;2009;2009-06-30T21:54:41Z;296148249;13.6309026;45.9398036999999
GORIZIA;GORIZIA;Friuli-Venezia Giulia;Università degli studi di Udine;2008;2008-09-12T17:54:02Z;296146275;13.6184704;45.9433168999999
TRIESTE;TRIESTE;Friuli-Venezia Giulia;Università degli Studi di Trieste - Facoltà di;2012;2012-02-06T16:08:19Z;1620381487;13.7747829;45.6571136999999
TRIESTE;TRIESTE;Friuli-Venezia Giulia;Università degli Studi di Trieste - Scuola Supe;2015;2015-07-03T22:28:33Z;268201077;13.7746768;45.6547635
REGGIO NELL'EMILIA;REGGIO EMILIA;Emilia-Romagna;Facoltà di Ingegneria;2013;2013-05-21T11:31:05Z;849800035;10.6688056;44.6877228999999
MODENA;MODENA;Emilia-Romagna;UNIMORE Facoltà di Giurisprudenza;2015;2015-02-18T10:09:48Z;1787125988;10.9277747;44.6450301
MODENA;MODENA;Emilia-Romagna;UNIMORE Università degli Studi di Modena e Regg;2015;2015-02-18T10:09:47Z;1795635035;10.9434827;44.632131
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;;2012;2012-02-18T19:14:16Z;1638065751;11.3280138;44.4870992999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Accademia di Belle Arti;2015;2015-02-01T12:23:52Z;2088994073;11.3529777;44.4977836999999
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Aula Absidale di Santa Lucia;2009;2009-05-26T15:12:31Z;411366245;11.3484441;44.4899129
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Aula Magna di Santa Lucia;2015;2015-11-20T09:41:23Z;411366244;11.3477367;44.489544
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;CUSB - Centro Universitario Sportivo Bologna;2013;2013-03-10T16:36:19Z;1627376986;11.3554382;44.4962153
BOLOGNA;CITTA' METROPOLITANA DI BOLOGNA;Emilia-Romagna;Dipartimento di Matematica per le Scienze Econom;2016;2016-01-31T11:09:55Z;3979367438;11.3565308999999;44.4956044999999
